case_id,cause_nbr,case_type,case_type_description,case_status,judge,Offense Code,Literal,class,offense_or_input_date
1360008,C-1-CR-19-501369                     ,WRA,CR WARRANT ARREST             ,DS,CC8,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2019-10-04
1360168,C-1-CR-19-501379                     ,WRA,CR WARRANT ARREST             ,FD,CC3,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2019-10-08
1360265,C-1-CR-19-151250                     ,WRA,CR WARRANT ARREST             ,AC,CC7,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2019-10-09
1363949,C-1-CR-19-213868                     ,WLA,CR WARRANTLESS ARREST         ,CI,CC3,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2019-11-25
1363951,C-1-CR-19-213870                     ,WLA,CR WARRANTLESS ARREST         ,DS,CC6,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2019-11-25
1363952,C-1-CR-19-213871                     ,WLA,CR WARRANTLESS ARREST         ,AC,CC7,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2019-11-25
1365014,C-1-CR-19-214484                     ,WLA,CR WARRANTLESS ARREST         ,DS,CC7,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2019-12-09
1366256,C-1-CR-19-501760                     ,WRA,CR WARRANT ARREST             ,FD,CC9,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2019-12-23
1366707,C-1-CR-19-215337                     ,WLA,CR WARRANTLESS ARREST         ,CI,CC4,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2019-12-31
1366967,C-1-CR-19-501794                     ,WRA,CR WARRANT ARREST             ,FD,CC6,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2020-01-02
1366968,C-1-CR-19-501795                     ,WRA,CR WARRANT ARREST             ,PO,CC9,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2020-01-02
1367207,C-1-CR-20-500015                     ,WRA,CR WARRANT ARREST             ,CI,CC4,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2020-01-06
1367475,C-1-CR-19-400366                     ,DAR,CR DA-REDUCTION               ,CI,CC8,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2020-01-07
1368425,C-1-CR-20-500093                     ,WRA,CR WARRANT ARREST             ,WA,CC9,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2020-01-21
1368937,C-1-CR-20-201018                     ,WLA,CR WARRANTLESS ARREST         ,PO,CC8,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2020-01-28
1369484,C-1-CR-20-201307                     ,WLA,CR WARRANTLESS ARREST         ,FD,CC9,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2020-02-04
1370500,C-1-CR-20-201849                     ,WLA,CR WARRANTLESS ARREST         ,DS,CC6,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2020-02-18
1372564,C-1-CR-20-500329                     ,WRA,CR WARRANT ARREST             ,FD,CC7,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2020-03-09
1374413,C-1-CR-20-204026                     ,WLA,CR WARRANTLESS ARREST         ,FD,CC3,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2020-04-15
1374481,C-1-CR-20-204032                     ,WLA,CR WARRANTLESS ARREST         ,FD,CC6,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2020-04-15
1375532,C-1-CR-20-204740                     ,WLA,CR WARRANTLESS ARREST         ,DS,CC7,23160001,THEFT-MAIL <=10 ADDRESSES                         ,A  ,2020-05-05
